ticker,epochs_trained,train_r2,train_rmse,train_mae,train_dir_acc,val_r2,val_rmse,val_mae,val_dir_acc,test_r2,test_rmse,test_mae,test_dir_acc,final_train_loss,final_val_loss,best_val_loss,training_time_sec,latest_date,forecast_return
IR,21,0.690133531811147,0.05869782783134501,0.03966286922529622,83.69272237196765,0.05151963298294182,0.07860517653190492,0.06106638006343016,69.1891891891892,-1.8818074177483308,0.11412454369473116,0.08743663506981655,48.1283422459893,0.15848618745803833,0.6732842326164246,0.5329795479774475,22.046231985092163,2026-01-16,2.2037387
WTW,31,0.907401701609064,0.01977211107802551,0.014665979298619718,91.23711340206185,-0.11759197200299787,0.0403961598052549,0.03164272158115943,67.43119266055045,-1.4669429579144126,0.07009915245223138,0.05709625969712862,47.94520547945205,0.12359752506017685,0.6005164980888367,0.5171740055084229,19.961406469345093,2026-01-16,-3.720665
LIN,16,0.24492435360524634,0.05532832327352099,0.038970805875505395,70.2176403207331,-0.2953049439893076,0.05047420205799424,0.03680561612517203,64.0552995391705,-0.9260045341399081,0.06265975728008613,0.047183429780448816,47.94520547945205,0.16202102601528168,0.8431763052940369,0.5594750642776489,20.050265789031982,2026-01-16,3.260386
SNPS,16,0.23901907814635082,0.07324044251320784,0.05579491570204855,69.89124212936463,-0.34895331675943964,0.09787226911465836,0.0794622752090514,45.412844036697244,-0.11419304815203968,0.15648489145772349,0.12886709469439367,47.94520547945205,0.17691361904144287,1.3083407878875732,0.8520918488502502,16.16391921043396,2026-01-16,0.24257898
AMT,16,0.24829696043718297,0.0626896855844335,0.04752049659188259,69.31883228391528,-0.09937619666101716,0.08173047935555183,0.0677591097922907,46.788990825688074,-0.37080476649317884,0.06113820135070328,0.04904118937390137,47.94520547945205,0.13429808616638184,1.0034860372543335,0.8379584550857544,18.399852752685547,2026-01-16,-4.0676236
SLB,17,0.2948623397636213,0.12090647152320147,0.0801260936853409,72.58156840297653,-0.20643060753320763,0.08139901314183426,0.06621785942088014,63.76146788990825,-0.69391172116904,0.11297714873916195,0.0849265120980576,47.706422018348626,0.17632627487182617,0.7492755055427551,0.5044684410095215,19.912226676940918,2026-01-16,-5.7143507
FOX,22,0.7838704317847512,0.03372423534788716,0.025809645370583938,88.60986547085203,0.09710588298597844,0.07253319394200583,0.059794433040738074,61.87050359712231,-1.462810114821853,0.07824130119152851,0.06185537107606318,47.5177304964539,0.1623242199420929,0.9097346067428589,0.6535063982009888,10.568214893341064,2026-01-16,2.1690726
MTD,18,0.3892617456145735,0.06263088423864221,0.048188133252638266,73.32570120206069,0.30426134319032383,0.0679267314412706,0.05193337657358567,71.10091743119266,-0.29965244632547305,0.09145313251912011,0.06879168874485657,47.48858447488584,0.12471486628055573,0.6578508019447327,0.4287896454334259,22.35062861442566,2026-01-16,4.601741
HPQ,17,0.3163082782094563,0.07453573580259056,0.05284694208404865,76.77752293577981,-0.05084632679614609,0.08439540914797808,0.06470904723058837,50.23041474654379,-0.2293804720744439,0.12001325120375005,0.09848282135753327,47.48858447488584,0.16294561326503754,0.8592533469200134,0.7756761312484741,16.295177698135376,2026-01-16,1.6613364
WY,17,0.3085804100170617,0.07736965659237896,0.0494258802918455,70.35550458715596,-0.03178691258157351,0.0726378390295624,0.05605719817092143,61.00917431192661,-0.865143201262857,0.08901379958820141,0.07030351356824757,47.48858447488584,0.2130594104528427,0.7969375848770142,0.5970138311386108,11.327271461486816,2026-01-16,-0.3142655
MRVL,17,0.4453967936589637,0.0876879861068603,0.0663947818363274,76.04584527220631,-0.032283519761530766,0.1242861230073033,0.10295301433300764,50.917431192660544,-0.14621964357911588,0.20144715844003436,0.15593712068002008,47.48858447488584,0.13264885544776917,0.8818800449371338,0.7550783157348633,51.01431059837341,2026-01-16,-7.1531773
BXP,16,0.08097857573867084,0.09188864392906047,0.06143085337458173,62.600229095074454,-0.04738993939025371,0.07623169775096635,0.0638322259358699,47.706422018348626,-0.006883240361249099,0.06815427200723279,0.055766402483750706,47.48858447488584,0.24133314192295074,1.1181528568267822,0.8524466753005981,20.59165906906128,2026-01-16,1.4288187
GILD,30,0.9033344012644997,0.019630302991084564,0.015040583851791864,88.8316151202749,-2.002338283356473,0.10859367707085475,0.09422197027010408,33.48623853211009,-1.5239495280522601,0.08608647418726609,0.07038988505105333,47.48858447488584,0.1285163015127182,1.494700312614441,1.4172782897949219,19.3541362285614,2026-01-16,-7.6323566
WFC,19,0.6470030520198893,0.05772576666361744,0.04167612375191862,76.67621776504298,0.030831761429560234,0.08089848011912233,0.06507025646199238,64.22018348623854,-0.529538132414987,0.09293370889528714,0.07617521077589091,47.48858447488584,0.1849866807460785,0.7137007117271423,0.6886487007141113,20.5966055393219,2026-01-16,-0.6364465
FERG,18,0.5385276384268785,0.06973881335185897,0.04830488516541503,80.20108275328694,-0.9243540711089129,0.11877978061000027,0.08570441009921338,44.72049689440994,-0.31369683534179615,0.09160950298567784,0.0781378315147623,47.239263803680984,0.1820324957370758,1.023681402206421,0.9574898481369019,10.237794637680054,2026-01-16,-4.6123147
COIN,17,0.4093711169757177,0.19938873102752125,0.15607210394392523,71.69540229885058,0.05588248086774039,0.22658895871220022,0.1827790476038656,67.81609195402298,-1.1307486993487688,0.20370782180504843,0.16363138927141674,47.12643678160919,0.1226494237780571,0.7767849564552307,0.5113950371742249,11.164427995681763,2026-01-16,6.1050296
UNP,16,0.2161399529289726,0.06216370882212574,0.044810249974888576,69.60503720663995,-0.017652659220916078,0.049183064706757255,0.04109229838354224,55.96330275229357,-0.2959190089905859,0.05901380817345354,0.04680396209613296,47.03196347031963,0.19802254438400269,0.9842368960380554,0.6441542506217957,18.508150815963745,2026-01-16,0.94600916
HUM,30,0.8718381801936679,0.029861795099745746,0.021064012535715358,89.06697195191757,0.16939246497438587,0.11290857633540448,0.09097901203674034,69.72477064220183,-0.15242563732476655,0.12619273416590435,0.09921587318023321,47.03196347031963,0.11845248937606812,1.015131950378418,0.8644931316375732,26.663172245025635,2026-01-16,1.7940164
HRL,23,0.8401736490344411,0.023523710866987273,0.017850539121182042,86.31156930126002,-0.07058465443535211,0.061591065707771335,0.046786849306644035,56.88073394495413,-0.29776917203487074,0.06958777415116926,0.05312763376367149,47.03196347031963,0.16484016180038452,0.9232556223869324,0.7443187832832336,28.535786390304565,2026-01-16,1.8083215
FSLR,17,0.4795050811611504,0.09788648338734512,0.0733699041897766,76.27507163323783,-0.050838434404580246,0.16670286733849832,0.12715934332947973,53.21100917431193,-0.5426482148153109,0.1499843208764689,0.1228718320600455,47.03196347031963,0.1477641761302948,1.0222392082214355,0.8579525947570801,12.032910585403442,2026-01-16,7.079935
GWW,16,0.21331393599137338,0.07345722792938084,0.05543576679098517,71.30584192439862,0.08445802058964935,0.062218120406947214,0.05106083645583061,66.05504587155964,-0.22999858874528556,0.06016232313352346,0.05116904942865666,47.03196347031963,0.14027930796146393,0.8380481004714966,0.5222551822662354,16.248915672302246,2026-01-16,2.210176
FICO,17,0.43912872401009284,0.07545110716127693,0.05070195355885485,77.5615340583858,0.1418111717461631,0.0929359536551999,0.07699886780447686,77.06422018348624,-1.117707525075641,0.17165707442230582,0.13797443112935975,46.57534246575342,0.18602734804153442,0.883234977722168,0.8078502416610718,12.034462451934814,2026-01-16,14.165497
CHRW,18,0.5388701384862112,0.04834745632111568,0.035404646038914626,78.69415807560138,-0.15896904926943956,0.07445830453957057,0.058541866260052325,69.26605504587155,-1.131694447747913,0.12874971993925724,0.10089204166888001,46.118721461187214,0.14960825443267822,0.8009740114212036,0.6258610486984253,21.0665500164032,2026-01-16,0.16186237
DIS,16,0.21758106568380642,0.07593114272234656,0.05331973586962573,65.08299942759015,0.1570956393635191,0.06970148318767927,0.05197103305964096,64.22018348623854,-0.23845578091733932,0.11607613542837104,0.08700291866786447,46.118721461187214,0.21488705277442932,1.329757571220398,0.648322343826294,14.35283899307251,2026-01-16,-0.85070133
