ticker,latest_date,forecast_return,test_dir_acc,test_r2
PRU,2026-01-16,-2.3378193,53.42465753424658,-1.3269879567385598
MSI,2026-01-16,6.641078,53.42465753424658,-1.0269472872999907
QCOM,2026-01-16,4.113543,53.42465753424658,-2.354937815992322
IP,2026-01-16,5.729401,53.42465753424658,-0.14766665042024374
GIS,2026-01-16,1.6709447,53.21100917431193,-3.9810797328761254
DHR,2026-01-16,6.8552256,53.21100917431193,-0.8950101924664602
PGR,2026-01-16,10.794163,52.96803652968036,-1.3703044708435383
ETN,2026-01-16,7.56073,52.96803652968036,-0.28218315886093914
CSCO,2026-01-16,-3.0960143,52.96803652968036,-0.18207410988128614
ACGL,2026-01-16,-0.46820045,52.96803652968036,-0.8281425500612503
ECL,2026-01-16,1.7097354,52.51141552511416,-0.45742795977591855
INTC,2026-01-16,-0.83969235,52.51141552511416,-0.12293302972481679
IDXX,2026-01-16,-2.6864648,52.51141552511416,-0.6581160616671478
PLTR,2026-01-16,29.944563,52.475247524752476,-6.069837378164072
ODFL,2026-01-16,9.323608,52.054794520547944,-1.2033280740120564
MLM,2026-01-16,0.20860434,52.054794520547944,-0.013191738479157111
HLT,2026-01-16,3.330624,52.054794520547944,0.038331189920791764
CLX,2026-01-16,5.6212187,52.054794520547944,-1.2152049718829638
EQIX,2026-01-16,8.347166,52.054794520547944,-0.9114359298088872
AON,2026-01-16,2.8638005,52.054794520547944,-1.7661617457475698
JNJ,2026-01-16,-1.1675298,51.8348623853211,-1.7544207825637628
FLUT,2026-01-16,-4.925722,51.82481751824818,-0.7525092220126264
D,2026-01-16,3.1034946,51.37614678899083,-0.7035759450350771
ALNY,2026-01-16,-5.33095,51.37614678899083,-0.2060807589468474
COST,2026-01-16,8.04044,51.141552511415526,-1.0671684569228583
TRV,2026-01-16,2.0397544,51.141552511415526,-0.28803515559126325
TSLA,2026-01-16,-5.6456146,51.141552511415526,-0.330675851212898
TAP,2026-01-16,-7.754612,51.141552511415526,-0.4928467841897144
ADSK,2026-01-16,3.8202167,51.141552511415526,-0.07432275787959175
PLD,2026-01-16,1.750207,51.141552511415526,-0.5774534108056448
ADI,2026-01-16,-0.10331869,51.141552511415526,-0.4458917835565308
MOS,2026-01-16,-2.9816031,51.141552511415526,-0.05336893186180225
AXP,2026-01-16,0.62687397,50.68493150684932,-0.2267631048363341
HOLX,2026-01-16,-5.7853518,50.68493150684932,-1.7602299606230267
TRGP,2026-01-16,5.6120634,50.68493150684932,-0.5947537874832316
MCO,2026-01-16,-0.9932339,50.68493150684932,-0.11241527057096534
CRH,2026-01-16,4.7963977,50.68493150684932,-0.23668599174847937
CNC,2026-01-16,-8.773243,50.68493150684932,0.024550050446399574
XYL,2026-01-16,-0.044882298,50.2283105022831,-0.027345087975830573
WMB,2026-01-16,0.3029704,50.2283105022831,-0.13851755354876638
URI,2026-01-16,-9.489793,50.2283105022831,-0.43521969278356676
PNC,2026-01-16,1.3404131,50.2283105022831,-0.34917632138592225
TEAM,2026-01-16,-1.2513459,50.2283105022831,-0.7244323578726222
IRM,2026-01-16,12.632012,49.77168949771689,-0.35808617863903436
JBHT,2026-01-16,0.50861835,49.77168949771689,-0.12591596540340233
COO,2026-01-16,5.0491214,49.54128440366973,-0.08991127458810921
COP,2026-01-16,-0.15470982,49.31506849315068,-0.0946591122631848
KMX,2026-01-16,-3.9625764,49.31506849315068,-0.48732467662909396
HUBS,2026-01-16,3.4937859,48.858447488584474,-0.6041063580083543
C,2026-01-16,-4.987359,48.858447488584474,-0.34427854995510265
BK,2026-01-16,3.6231518,48.858447488584474,-0.7859709552339407
UBER,2026-01-16,13.572609,48.529411764705884,-3.0700016477404626
PWR,2026-01-16,-8.451664,48.401826484018265,-0.5908768509240045
TXN,2026-01-16,-5.962282,48.401826484018265,-0.30321862888352036
VEEV,2026-01-16,-5.458379,48.401826484018265,-0.11498186585364967
IR,2026-01-16,2.2037387,48.1283422459893,-1.8818074177483308
WTW,2026-01-16,-3.720665,47.94520547945205,-1.4669429579144126
LIN,2026-01-16,3.260386,47.94520547945205,-0.9260045341399081
SNPS,2026-01-16,0.24257898,47.94520547945205,-0.11419304815203968
AMT,2026-01-16,-4.0676236,47.94520547945205,-0.37080476649317884
SLB,2026-01-16,-5.7143507,47.706422018348626,-0.69391172116904
FOX,2026-01-16,2.1690726,47.5177304964539,-1.462810114821853
MTD,2026-01-16,4.601741,47.48858447488584,-0.29965244632547305
HPQ,2026-01-16,1.6613364,47.48858447488584,-0.2293804720744439
WY,2026-01-16,-0.3142655,47.48858447488584,-0.865143201262857
