Date,Ticker,Type,Price
2024-04-01,ACGL,Close,90.24027252197266
2024-04-08,ACGL,Close,85.56185150146484
2024-04-15,ACGL,Close,88.36699676513672
2024-04-22,ACGL,Close,86.43667602539062
2024-04-29,ACGL,Close,89.77433013916016
2024-05-06,ACGL,Close,95.13739776611328
2024-05-13,ACGL,Close,96.03124237060547
2024-05-20,ACGL,Close,98.28487396240234
2024-05-27,ACGL,Close,97.59071350097656
2024-06-03,ACGL,Close,95.63186645507812
2024-06-10,ACGL,Close,92.48439025878906
2024-06-17,ACGL,Close,96.88704681396484
2024-06-24,ACGL,Close,95.93614959716797
2024-07-01,ACGL,Close,93.3306884765625
2024-07-08,ACGL,Close,91.76171112060547
2024-07-15,ACGL,Close,91.38134765625
2024-07-22,ACGL,Close,92.15158081054688
2024-07-29,ACGL,Close,93.82515716552734
2024-08-05,ACGL,Close,93.93927001953125
2024-08-12,ACGL,Close,97.5146484375
2024-08-19,ACGL,Close,103.66695404052734
2024-08-26,ACGL,Close,107.537109375
2024-09-02,ACGL,Close,105.02674102783203
2024-09-09,ACGL,Close,106.5196533203125
2024-09-16,ACGL,Close,107.67974853515625
2024-09-23,ACGL,Close,107.8414077758789
2024-09-30,ACGL,Close,109.22020721435547
2024-10-07,ACGL,Close,108.78279113769531
2024-10-14,ACGL,Close,103.20101928710938
2024-10-21,ACGL,Close,100.1296157836914
2024-10-28,ACGL,Close,91.3052749633789
2024-11-04,ACGL,Close,96.84901428222656
2024-11-11,ACGL,Close,96.83000183105469
2024-11-18,ACGL,Close,94.79507446289062
2024-11-25,ACGL,Close,100.72000122070312
2024-12-02,ACGL,Close,97.83000183105469
2024-12-09,ACGL,Close,93.41999816894531
2024-12-16,ACGL,Close,90.98999786376953
2024-12-23,ACGL,Close,92.33999633789062
2024-12-30,ACGL,Close,91.4000015258789
2025-01-06,ACGL,Close,90.16999816894531
2025-01-13,ACGL,Close,95.51000213623047
2025-01-20,ACGL,Close,92.76000213623047
2025-01-27,ACGL,Close,93.06999969482422
2025-02-03,ACGL,Close,93.5
2025-02-10,ACGL,Close,88.19999694824219
2025-02-17,ACGL,Close,88.12999725341797
2025-02-24,ACGL,Close,92.91000366210938
2025-03-03,ACGL,Close,91.0
2025-03-10,ACGL,Close,92.56999969482422
2025-03-17,ACGL,Close,91.9800033569336
2025-03-24,ACGL,Close,95.05999755859375
2025-03-31,ACGL,Close,87.83000183105469
2025-04-07,ACGL,Close,92.12999725341797
2025-04-14,ACGL,Close,92.56999969482422
2025-04-21,ACGL,Close,90.68000030517578
2025-04-28,ACGL,Close,92.4800033569336
2025-05-05,ACGL,Close,94.54000091552734
2025-05-12,ACGL,Close,94.58999633789062
2025-05-19,ACGL,Close,92.06999969482422
2025-05-26,ACGL,Close,95.04000091552734
2025-06-02,ACGL,Close,95.52999877929688
2025-06-09,ACGL,Close,90.98999786376953
2025-06-16,ACGL,Close,90.16999816894531
2025-06-23,ACGL,Close,90.31999969482422
2025-06-30,ACGL,Close,89.19000244140625
2025-07-07,ACGL,Close,87.83999633789062
2025-07-14,ACGL,Close,88.3499984741211
